Time,pm10 standard,pm25 standard,pm100 standard,temperature,gas,humidity,pressure,altitude
1708732902.642646,0,1,2,21.82921875,91448,37.817039699831156,1006.9455454360647,52.6216115591382
1708732903.6566584,0,0,1,21.8716015625,91052,38.01004602008095,1007.0814895092979,51.48411198049378
1708732904.6697133,0,0,1,21.914765625,91948,38.17384869212631,1007.2067646646531,50.43599366495944
1708732905.6828277,0,0,1,21.957734375,92965,38.29050839340293,1007.3180226437421,49.505238968255036
1708732906.6959743,0,0,1,22.00109375,93482,38.407311193903716,1007.3939774537487,48.86986901486942
1708732907.709889,0,0,1,22.04328125,94612,38.48263992401319,1007.4508472565634,48.394172541908596
1708732908.7231803,0,0,1,22.0829296875,105078,38.439300812624836,1007.4897671013849,48.06863386707905
1708732909.7363043,0,0,1,22.11984375,112458,38.247780807866874,1007.5121206656383,47.881665739504044
1708732910.7493217,0,1,2,22.1563671875,118565,37.98557116549978,1007.5355302956174,47.685868141004434
1708732911.7624836,0,1,2,22.1926953125,121478,37.70017901104888,1007.5483315285745,47.57880048535777
1708732912.7743902,1,1,1,22.23078125,127658,37.433105601054926,1007.5692079966159,47.404195097595554
1708732913.7871237,0,0,0,22.2676953125,131553,37.13697999893187,1007.5829805923468,47.289006267108675
1708732914.8002112,0,0,0,22.305,134716,36.853152569599935,1007.5956886596916,47.182721884065934
1708732915.8131952,0,0,0,22.341328125,136465,36.56972181519172,1007.6016183116079,47.13312939616939
1708732916.8259027,0,0,0,22.3766796875,137582,36.280848213885264,1007.6110502082905,47.054246463127626
1708732917.839029,1,1,1,22.4118359375,140104,36.03912096203208,1007.6184372799455,46.992465682383916
1708732918.852059,1,1,1,22.4454296875,140573,35.80924833608708,1007.6197791679828,46.98124302153851
1708732919.8652003,1,1,1,22.478828125,143329,35.59131234925032,1007.6139342341667,47.0301262567701
1708732920.8778498,1,1,1,22.512421875,144686,35.373686706561884,1007.6066964056455,47.09065907803834
1708732921.8909402,1,1,2,22.5450390625,147478,35.19106002711751,1007.5961058968376,47.179232324437315
1708732922.9039905,1,1,2,22.5784375,148652,35.026093519065824,1007.5902440251618,47.22825814991725
1708732923.9170125,1,1,2,22.609296875,150380,34.84947541541593,1007.5818455911169,47.29849894394045
1708732924.9305058,1,1,2,22.6391796875,153679,34.69608494902921,1007.5855234424203,47.26773896125058
1708732925.9432287,1,1,2,22.6688671875,154102,34.537042761654135,1007.5905854522379,47.225402614639115
1708732926.9568756,1,1,2,22.6989453125,153679,34.389733677158354,1007.598011454374,47.163295223655716
1708732927.9714282,1,1,2,22.72921875,154954,34.27717294504077,1007.6006171560336,47.141502517907085
1708732928.98599,1,1,2,22.75890625,156395,34.14734475229243,1007.6005249380883,47.14227377908411
1708732930.0026042,1,1,2,22.787421875,157716,34.04054150551232,1007.6070430606777,47.08775985693244
1708732931.015725,1,1,2,22.817109375,158310,33.93391406546129,1007.61037287289,47.05991128505118
